Product,NIC3,NIC3 code,Capital2Sales,codes,Activity Names,Ref Flow Names,location,amounts,Units,NPC_code,NPC_name,NPC_Unit,Conversion Factor
PVC Insulated Wire,Manufacture of wiring and wiring devices,273,2.792098392,e516a6bd78a88a5632d90214230ee88a,"cable production, three-conductor cable","cable, three-conductor cable",GLO,1,meter,4635002,Plastic insulated conductors for a voltage exceeding 1000 v,T,961.5384615
Rabbit plyclonal antisera,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",210,1.556107912,c911b229024adde552a49792fe054cf0,enzymes production,enzymes,RoW,1,kilogram,3417009,Enzyme not used in food products,T,1000
Ready made garments,"Spinning, weaving and finishing of textiles.",131,1.482288568,533985623bb02dfa0e86cb5c019d7355,"textile production, knit cotton, batch dyed","textile, knit cotton",GLO,1,kilogram,2669009,"Dyed/printed textiles, cotton",METRES,0.25
Ready Mix concrete,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,b33883a362832eb40873fa8966d7796e,"cement production, Portland","cement, Portland",RoW,1,kilogram,3794000,"Bituminous mixtures based on natural and artificial stone materials and bitumen, natural asphalt or",T,1000
Recovered Silver,Manufacture of basic precious and other non-ferrous metals,242,1.642921293,811fabc636b507d0d6f390582fc957b3,treatment of waste x-ray film,silver,GLO,1,kilogram,1424006,Silver mineral,KG,1
Recycling alluminium scrap,Materials recovery,383,3.219869937,8b7ce89f72ba2ab325c401f364518540,"treatment of aluminium scrap, post-consumer, by collecting, sorting, cleaning, pressing","aluminium scrap, post-consumer, prepared for melting",RoW,1,kilogram,3936301,"Scrap, aluminium",T,1000
"Recycling and Reprocessing of Old and Waste Oil, Light Machinery Oil, Grease oil",Materials recovery,383,3.219869937,7e53d4a7a793c13ca1a4f673c67f5034,"treatment of used vegetable cooking oil, purification","used vegetable cooking oil, purified",RoW,1,kilogram,1201000,"Petroleum oils and oils obtained from bituminous minerals, crude",T,1000
Recycling of Plastic,Materials recovery,383,3.219869937,1a6720e85c6259e84e0f2d56e555eb44,"polyethylene production, high density, granulate, recycled","polyethylene, high density, granulate, recycled",RoW,1,kilogram,3927099,"Waste, parings and scrap of plastics n.e.c",KG,1
Red Wine and White wine,Manufacture of beverages,110,1.476681288,1add17f2d6280dc598523007fd78343a,ethanol production from potatoes,"ethanol, without water, in 95% solution state, from fermentation",RoW,1,kilogram,2421299,"Wine of fresh grapes, except sparkling wine; grape must, n.e.c.",LITRES,1
Repair & Service of Batteries,"Repair of fabricated metal products, machinery and equipment",331,0.191314393,4a01c7a5c14804698b1c838a6349d9f7,"treatment of scrap lead acid battery, remelting",lead,RoW,1,kilogram,4641001,Batteries,T,1000
reprocessing & recycling of chemical containers,Materials recovery,383,3.219869937,1a6720e85c6259e84e0f2d56e555eb44,"polyethylene production, high density, granulate, recycled","polyethylene, high density, granulate, recycled",RoW,1,kilogram,3927099,"Waste, parings and scrap of plastics n.e.c",KG,1
Reprocessing of Plastic,Materials recovery,383,3.219869937,1a6720e85c6259e84e0f2d56e555eb44,"polyethylene production, high density, granulate, recycled","polyethylene, high density, granulate, recycled",RoW,1,kilogram,3927099,"Waste, parings and scrap of plastics n.e.c",KG,1
Reprocessing of used engine oil,Materials recovery,383,3.219869937,7e53d4a7a793c13ca1a4f673c67f5034,"treatment of used vegetable cooking oil, purification","used vegetable cooking oil, purified",RoW,1,kilogram,1201000,"Petroleum oils and oils obtained from bituminous minerals, crude",T,1000
Rerolling of Iron,Manufacture of other fabricated metal products; metalworking service activities,259,1.657209305,378bceefe6d5672bccf38baa4c197ad3,sorting and pressing of iron scrap,"iron scrap, sorted, pressed",RoW,1,kilogram,3935099,Remelting scrap ingots of iron or steel n.e.c,T,1000
Resins,Manufacture of other chemical products,202,2.603982374,c6dd79cada200a7cd01046ec571541cf,epoxy resin production,epoxy resin,RoW,1,kilogram,3511067,"Paints epoxy, Epoxy powder and liquid",LITRES,1.05
Rice Mill,"Manufacture of grain mill products, starches and starch products",106,2.366061011,f820aca46c9b28aa2f2d913f3b1c0672,"oat grain, feed production","oat grain, feed",RoW,1,kilogram,2316203,Rice husked,T,1000
Rubber Compounds,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms",201,1.777223527,4edc91fa540a8ac59d3ba7582eab2ceb,synthetic rubber production,synthetic rubber,RoW,1,kilogram,3480008,Synthetic rubber compound,T,1000
Rubber mixing,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms",201,1.777223527,4edc91fa540a8ac59d3ba7582eab2ceb,synthetic rubber production,synthetic rubber,RoW,1,kilogram,3622002,Mixed rubber,T,1000
"Rubber Pads, Brakes",Manufacture of rubber products,221,2.135003155,4edc91fa540a8ac59d3ba7582eab2ceb,synthetic rubber production,synthetic rubber,RoW,1,kilogram,3627099,"Articles of vulcanized rubber n.e.c.; hard rubber; articles of hard rubber, n.e.c.",T,1000
Rubber Product,Manufacture of rubber products,221,2.135003155,1114d9ffde71c344503fab04bc7bea5f,"seal production, natural rubber based","seal, natural rubber based",RoW,1,kilogram,3627006,Component & parts rubber,T,1000
Rubber reclaiming,Manufacture of rubber products,221,2.135003155,4edc91fa540a8ac59d3ba7582eab2ceb,synthetic rubber production,synthetic rubber,RoW,1,kilogram,3621002,Reclaimed rubber,T,1000
Rubber retreading,Manufacture of rubber products,221,2.135003155,4edc91fa540a8ac59d3ba7582eab2ceb,synthetic rubber production,synthetic rubber,RoW,1,kilogram,3627032,Rubber tread,T,1000
Salts of Hydroxy citric acid,Manufacture of other chemical products,202,2.603982374,24c63bcaa0d3dcfc138a5d8773421e1a,citric acid production,citric acid,RoW,1,kilogram,3525094,Vitamin c (ascorbic acid),KG,1
Sandal Oil,Manufacture of Vegetable and animal oils and fats ,104,4.001774325,90b5fe39c0a5fa8510c28ea05f00c39a,palm oil refinery operation,"palm oil, refined",GLO,1,kilogram,3532325,"Essence, sandal wood oil",KG,1
Sanitory land fill and capping,Waste treatment and disposal,382,0.077311561,e276d576447eeb81207337052e0f55b7,"treatment of hazardous waste, hazardous waste incineration","hazardous waste, for incineration",RoW,-1,kilogram,3991000,Municipal waste,T,1000
Saw Mill,Saw milling and planing of wood,161,2.748062527,b9918479d0db49a900cf45409d7884a1,"sawnwood production, softwood, dried (u=10%), planed","sawnwood, softwood, dried (u=10%), planed",RoW,1,cubic meter,3110002,"Timber/wooden planks, sawn/resawn",CUBIC METER,1
Scrap Steels,Materials recovery,383,3.219869937,378bceefe6d5672bccf38baa4c197ad3,sorting and pressing of iron scrap,"iron scrap, sorted, pressed",RoW,1,kilogram,3934003,Scrap iron/steel,T,1000
Silk Filature,"Spinning, weaving and finishing of textiles.",131,1.482288568,75730a7a6edcfe78c4265abc5ae5e2f1,"spinning, bast fibre","spinning, bast fibre",RoW,1,kilogram,2631012,"Threads, silk",KG,1
Silk Thread twisting,"Spinning, weaving and finishing of textiles.",131,1.482288568,75730a7a6edcfe78c4265abc5ae5e2f1,"spinning, bast fibre","spinning, bast fibre",RoW,1,kilogram,2631012,"Threads, silk",KG,1
Silver coated textile Material,Manufacture of man-made fibers,203,1.894540133,08a9bc58ce2d23794762ad09887c2a98,glass fibre production,glass fibre,RoW,1,kilogram,2643004,"Fibres, synthetic",KG,1
Slaughter house,Processing and preserving of meat,101,5.661091595,af0ac9de4255db83f2a3607e3c9a19bc,"sheep production, for meat","sheep for slaughtering, live weight",RoW,1,kilogram,2111500,"Meat of sheep, fresh or chilled",T,1000
Soap stone powder,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,b9014bab0f080124eefb699264068ee6,steatite quarry operation,steatite,RoW,1,kilogram,1532007,Stone dust/powder,CUBIC METER,0.75
Soaps & Detergents,Manufacture of other chemical products,202,2.603982374,3c3df61337e5bf3e52d13ea6c14b27c0,soap production,soap,RoW,1,kilogram,3532212,Soap toilet (excl. baby soap),KG,1
Soft drinks,Manufacture of beverages,110,1.476681288,8ca52a63fd0aadd08352e3a204b11fd6,soybean beverage production,soybean beverage,RoW,1,litre,2449002,"Soft drink , carbonated beverage other than soda water",LITRES,1
"Solder wires & sticks, Solder fluxes, Lead silver anodes",Manufacture of wiring and wiring devices,273,2.792098392,992ffc6d67fe274125300219cd29fa51,"soft solder production, Sn97Cu3","soft solder, Sn97Cu3",RoW,1,kilogram,4295008,Solder Wire /Multirosin/Cored,KG,1
Solvent Extractions,Manufacture of other chemical products,202,2.603982374,2225ed2f7404006b14d0d321374a87c4,ethylene hydration,"ethanol, without water, in 99.7% solution state, from ethylene",RoW,1,kilogram,3413903,Alcohol solvent mixture,K.LITRES,790
Sorting & Grading of Plastic Scrap,Materials recovery,383,3.219869937,378bceefe6d5672bccf38baa4c197ad3,sorting and pressing of iron scrap,"iron scrap, sorted, pressed",RoW,1,kilogram,3934099,Ferrous waste and scrap n.e.c,T,1000
Sorting & Grading of Plastic and Metal Scrap,Materials recovery,383,3.219869937,1a6720e85c6259e84e0f2d56e555eb44,"polyethylene production, high density, granulate, recycled","polyethylene, high density, granulate, recycled",RoW,1,kilogram,3927002,"Scrap, plastic",T,1000
Sorting and grading of non hazardous waste generating from the industries,Materials recovery,383,3.219869937,378bceefe6d5672bccf38baa4c197ad3,sorting and pressing of iron scrap,"iron scrap, sorted, pressed",RoW,1,kilogram,3934099,Ferrous waste and scrap n.e.c,T,1000
Sorting of E-waste,Materials recovery,383,3.219869937,0786ac54088b168c2115b680da5d0286,treatment of electronics scrap from control units,electronics scrap from control units,RoW,-1,kilogram,3936199,Waste and scrap of copper n.e.c,T,1000
Springs,Manufacture of wiring and wiring devices,273,2.792098392,6e7dad38c20a0f7a19340133a1d37f37,"wire drawing, steel","wire drawing, steel",RoW,1,kilogram,4294502,Helical springs,T,1000
spun pipes,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,e4600b2c1bb4dfa7084371554c073eed,concrete block production,concrete block,RoW,1,kilogram,4129203,Spun pipe,T,1000
Stationery Product,Manufacture of paper and paper products,170,1.199184149,33e3ddd2f1356c531dd22bf8e6feaac1,"kraft paper production, bleached","kraft paper, bleached",RoW,1,kilogram,3212923,"Paper, ordinary white/rulled",T,1000
Steel TMT Bars,"Manufacture of structural metal products, tanks, reservoirs and steam generators",251,1.653807995,118ca4614b0c80fc3bccb76a8ad726e7,reinforcing steel production,reinforcing steel,RoW,1,kilogram,4124401,Bars and rods of alloy steel forged,T,1000
Steels,Manufacture of basic iron and steel,241,1.026929294,2a47f360f0b7a134046cffa98c0c7e4d,"steel production, electric, chromium steel 18/8","steel, chromium steel 18/8",RoW,1,kilogram,4112204,Forged blank of alloy steel,T,1000
Stone Crusher,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,84dc8d3c88c329a682882db67f50ee37,"gravel production, crushed","gravel, crushed",RoW,1,kilogram,1532099,"Pebbles, gravel, broken or crushed stone, macadam; granules, chippings and powder of stone n.e.c.",CUBIC METER,1602
Stone cutting & polishing,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,b922aed13a8c43cbe2c109818a00d017,"natural stone plate production, polished","natural stone plate, polished",RoW,1,kilogram,3769000,"Other worked monumental or building stone and articles thereof; other artificially coloured granules,",T,1000
Sugars & Distillery,Manufacture of other food products,107,1.246959641,a3578321be83a50c760d08ac53a92ce5,cane sugar production with ethanol by-product,"sugar, from sugarcane",RoW,1,kilogram,2321011,Sugar,KG,1
Surface Coating,Manufacture of other fabricated metal products; metalworking service activities,259,1.657209305,b2e2a8f9329da72366ce5773484c63ab,primary zinc production from concentrate,zinc,RoW,1,kilogram,3511078,Powder coating materials,T,1000
t laid non ovven,Manufacture of other textiles,139,1.642627319,533985623bb02dfa0e86cb5c019d7355,"textile production, knit cotton, batch dyed","textile, knit cotton",GLO,1,kilogram,2669009,"Dyed/printed textiles, cotton",METRES,0.25
Tablet & Capsules,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",210,1.556107912,895ad04515f3fc0240d9051cfdcd4eaf,"carboxymethyl cellulose production, powder","carboxymethyl cellulose, powder",RoW,1,kilogram,3525098,Other Vitamins in tablet or injectable form,KG,1
Tablet formulation,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",210,1.556107912,895ad04515f3fc0240d9051cfdcd4eaf,"carboxymethyl cellulose production, powder","carboxymethyl cellulose, powder",RoW,1,kilogram,3525098,Other Vitamins in tablet or injectable form,KG,1
Tarpulin,Manufacture of man-made fibers,203,1.894540133,304eac18688f22f4d6065f5bfe97ef13,polyester-complexed starch biopolymer production,polyester-complexed starch biopolymer,RoW,1,kilogram,3633025,Tarpaulin plastic,KG,1
Telecables,Manufacture of wiring and wiring devices,273,2.792098392,e516a6bd78a88a5632d90214230ee88a,"cable production, three-conductor cable","cable, three-conductor cable",GLO,1,meter,4635002,Plastic insulated conductors for a voltage exceeding 1000 v,T,961.5384615
Textiles,"Spinning, weaving and finishing of textiles.",131,1.482288568,533985623bb02dfa0e86cb5c019d7355,"textile production, knit cotton, batch dyed","textile, knit cotton",GLO,1,kilogram,2669009,"Dyed/printed textiles, cotton",METRES,0.25
"Textures, stone finish, colours",Manufacture of other chemical products,202,2.603982374,34451877bc07bc3eabd341d733798d71,"acrylic varnish production, product in 87.5% solution state","acrylic varnish, without water, in 87.5% solution state",RoW,1,kilogram,3511064,Paint,T,1000
Thermocol,Manufacture of plastics products,222,1.941952343,efd59598b53c030cab7572f79dfbd638,polystyrene foam slab production,polystyrene foam slab,RoW,1,kilogram,3472003,"Polystyrene, PS, Thermocol",T,1000
Thinner / Distilled solvent,Manufacture of other chemical products,202,2.603982374,2225ed2f7404006b14d0d321374a87c4,ethylene hydration,"ethanol, without water, in 99.7% solution state, from ethylene",RoW,1,kilogram,3413903,Alcohol solvent mixture,K.LITRES,790
Tire,Manufacture of rubber products,221,2.135003155,4edc91fa540a8ac59d3ba7582eab2ceb,synthetic rubber production,synthetic rubber,RoW,1,kilogram,3627032,Rubber tread,T,1000
Tire Flaps,Manufacture of rubber products,221,2.135003155,4edc91fa540a8ac59d3ba7582eab2ceb,synthetic rubber production,synthetic rubber,RoW,1,kilogram,3627011,Fabrication rubber,KG,1
Tire Retread,Manufacture of rubber products,221,2.135003155,4edc91fa540a8ac59d3ba7582eab2ceb,synthetic rubber production,synthetic rubber,RoW,1,kilogram,3627032,Rubber tread,T,1000
Tissue Paper,Manufacture of paper and paper products,170,1.199184149,042aa3441e1ff36794a97318f87733f2,tissue paper production,tissue paper,RoW,1,kilogram,3213104,Tissue paper,T,1000
Toilet soap,Manufacture of other chemical products,202,2.603982374,3c3df61337e5bf3e52d13ea6c14b27c0,soap production,soap,RoW,1,kilogram,3532212,Soap toilet (excl. baby soap),KG,1
"Transformers, Inverters","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",271,2.241594329,3faa213cb284e4401e52a8778fc32681,"transformer production, high voltage use","transformer, high voltage use",GLO,1,kilogram,4612199,"Electrical transformers,n.e.c",NOS,1960
Tread Rubber,Manufacture of rubber products,221,2.135003155,4edc91fa540a8ac59d3ba7582eab2ceb,synthetic rubber production,synthetic rubber,RoW,1,kilogram,3627032,Rubber tread,T,1000
Tricot Knit fabric & Flat Woven fabric,"Spinning, weaving and finishing of textiles.",131,1.482288568,533985623bb02dfa0e86cb5c019d7355,"textile production, knit cotton, batch dyed","textile, knit cotton",GLO,1,kilogram,2669009,"Dyed/printed textiles, cotton",METRES,0.25
Trucks,Manufacture of motor vehicles,291,2.455559669,c3715da87d2979bed90bfcbbb4c15d72,"lorry production, 16 metric ton","lorry, 16 metric ton",RoW,1,unit,4911405,Trucks / lorries,NOS,1
Trucks Engine,Manufacture of general purpose machinery,281,2.002993423,240e5d8952507507f8d06c4555adbf48,"internal combustion engine production, passenger car","internal combustion engine, for passenger car",GLO,1,kilogram,4312206,"Truck, tractor engine excd. 1000 cc",NOS,113.398
Tube,Manufacture of rubber products,221,2.135003155,1114d9ffde71c344503fab04bc7bea5f,"seal production, natural rubber based","seal, natural rubber based",RoW,1,kilogram,3627006,Component & parts rubber,T,1000
Tube Valves,Manufacture of general purpose machinery,281,2.002993423,721966d9592c87aad6107cc6dd75e8b7,"exhaust air valve production, in-wall housing, plastic/steel, DN 125","exhaust air valve, in-wall housing, plastic/steel, DN 125",RoW,1,unit,4315114,"Valves, inlets, exhausts for spark ignition piston engines",KG,2
Tubelight fitting & Luminers,Manufacture of electric lighting equipment,274,2.16484929,550e1458447ba49686a45c92da33238e,"glass tube production, borosilicate","glass tube, borosilicate",RoW,1,kilogram,3719108,Glass for fluroscent lamps,KG,1
Tungsten Filament,Manufacture of wiring and wiring devices,273,2.792098392,6e7dad38c20a0f7a19340133a1d37f37,"wire drawing, steel","wire drawing, steel",RoW,1,kilogram,4160217,Tungsten filament,KG,1
Tungsten wire,Manufacture of wiring and wiring devices,273,2.792098392,6e7dad38c20a0f7a19340133a1d37f37,"wire drawing, steel","wire drawing, steel",RoW,1,kilogram,4160218,Tungsten wire,KG,1
Twisting of Silk Yarn,"Spinning, weaving and finishing of textiles.",131,1.482288568,75730a7a6edcfe78c4265abc5ae5e2f1,"spinning, bast fibre","spinning, bast fibre",RoW,1,kilogram,2631012,"Threads, silk",KG,1
Two Wheeler Assembling,Manufacture of transport equipment n.e.c.,309,3.35340821,c6407f9870347c9b7db15706d9a59d17,motor scooter production,"motor scooter, 50 cubic cm engine",RoW,1,unit,4991203,Scooters with cylinder capacity exceeding 50 cc,NOS,1
Tyre tubes mould,Manufacture of rubber products,221,2.135003155,4edc91fa540a8ac59d3ba7582eab2ceb,synthetic rubber production,synthetic rubber,RoW,1,kilogram,3627032,Rubber tread,T,1000
Tyres & Tubes,Manufacture of rubber products,221,2.135003155,4edc91fa540a8ac59d3ba7582eab2ceb,synthetic rubber production,synthetic rubber,RoW,1,kilogram,3627032,Rubber tread,T,1000
Umbrella,Manufacture of plastics products,222,1.941952343,e922c7f2ad2f8a72dc8b8a950d152e02,nylon 6 production,nylon 6,RoW,1,kilogram,2671004,"Fabrics, nylon",METRES,0.35
UPS and Invertor,Manufacture of electronic components,261,2.088342482,bdd57134d8eb563db8e3ad2d1070f484,"inverter production, 0.5kW","inverter, 0.5kW",RoW,1,unit,4621100,"Electrical apparatus for switching or protecting electrical circuits, or for making connexions to or in",NOS,1
Urea Formaldehyde Resin,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics and synthetic rubber in primary forms",201,1.777223527,fd6ec487d0347bc9f82894488ceffe53,urea formaldehyde resin production,urea formaldehyde resin,RoW,1,kilogram,3461100,Urea,T,1000
Urea formaldehyde resin plywood sheet.,"Manufacture of products of wood, cork, straw and plaiting materials",162,1.648473115,793b41f0fe3db1f44596a18dec3bddb1,"plywood production, for outdoor use","plywood, for outdoor use",RoW,1,cubic meter,3145099,"Plywood, veneer panels and similar laminated wood of bamboo n.e.c",CUBIC METER,1
Veneers,"Manufacture of products of wood, cork, straw and plaiting materials",162,1.648473115,793b41f0fe3db1f44596a18dec3bddb1,"plywood production, for outdoor use","plywood, for outdoor use",RoW,1,cubic meter,3145099,"Plywood, veneer panels and similar laminated wood of bamboo n.e.c",CUBIC METER,1
Veneers & Plywood,"Manufacture of products of wood, cork, straw and plaiting materials",162,1.648473115,793b41f0fe3db1f44596a18dec3bddb1,"plywood production, for outdoor use","plywood, for outdoor use",RoW,1,cubic meter,3145099,"Plywood, veneer panels and similar laminated wood of bamboo n.e.c",CUBIC METER,1
Vitimines,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",210,1.556107912,24c63bcaa0d3dcfc138a5d8773421e1a,citric acid production,citric acid,RoW,1,kilogram,3525059,Multi-vitamin,KG,1
Washing of chemical containers,Waste treatment and disposal,382,0.077311561,a2887eda4e3c66b3041fa7da39a8316f,"treatment of spent solvent mixture, hazardous waste incineration",spent solvent mixture,RoW,-1,kilogram,3927099,"Waste, parings and scrap of plastics n.e.c",KG,1
Waste Scrap,Materials recovery,383,3.219869937,378bceefe6d5672bccf38baa4c197ad3,sorting and pressing of iron scrap,"iron scrap, sorted, pressed",RoW,1,kilogram,3934003,Scrap iron/steel,T,1000
Weaving of silk sarees and dress material,"Spinning, weaving and finishing of textiles.",131,1.482288568,533985623bb02dfa0e86cb5c019d7355,"textile production, knit cotton, batch dyed","textile, knit cotton",GLO,1,kilogram,2669009,"Dyed/printed textiles, cotton",METRES,0.25
Wheels & Gears,Manufacture of parts and accessories for motor vehicles,293,1.96355613,acd482ba29ce06c00e2333f8a6238ab0,"metal working, average for steel product manufacturing","metal working, average for steel product manufacturing",RoW,1,kilogram,4912931,Gear wheels,NOS,0.0680389
Wire drawing,Manufacture of wiring and wiring devices,273,2.792098392,6e7dad38c20a0f7a19340133a1d37f37,"wire drawing, steel","wire drawing, steel",RoW,1,kilogram,4126799,"Wire of alloy steel, n.e.c.",T,1000
Wires & Filaments,Manufacture of wiring and wiring devices,273,2.792098392,6e7dad38c20a0f7a19340133a1d37f37,"wire drawing, steel","wire drawing, steel",RoW,1,kilogram,4126799,"Wire of alloy steel, n.e.c.",T,1000
Wood furniture,Manufacture of furniture,310,1.452294202,ac788592d68de618945e04d7d506c4fb,"door production, outer, wood-aluminium","door, outer, wood-aluminium",RoW,1,square meter,3529017,"Drip stand, table and other hospital furnitures",KG,0.019723866
wood screws,Casting of metals,243,0.998678157,acd482ba29ce06c00e2333f8a6238ab0,"metal working, average for steel product manufacturing","metal working, average for steel product manufacturing",RoW,1,kilogram,4294435,"Wood screws, iron and steel",KG,0.019723866
Wooden Furnitures,Manufacture of furniture,310,1.452294202,ac788592d68de618945e04d7d506c4fb,"door production, outer, wood-aluminium","door, outer, wood-aluminium",RoW,1,square meter,3529017,"Drip stand, table and other hospital furnitures",KG,0.019723866
Woven Fabrics,"Spinning, weaving and finishing of textiles.",131,1.482288568,3d1af71a62f2f7590920352e6af37f18,"textile production, woven cotton","textile, woven cotton",GLO,1,kilogram,2669009,"Dyed/printed textiles, cotton",METRES,0.25
Zinc dust,Manufacture of other fabricated metal products; metalworking service activities,259,1.657209305,7985ad8ebcff5f78b82df020df74ae30,"powder coating, steel","powder coat, steel",RoW,1,square meter,3511078,Powder coating materials,T,8818.48
Zinc Oxide,Manufacture of basic precious and other non-ferrous metals,242,1.642921293,534e37b9234c66761f3877a318325060,zinc oxide production,zinc oxide,RoW,1,kilogram,3422022,Zinc oxide,T,1000
Zinc Slabs,Manufacture of basic precious and other non-ferrous metals,242,1.642921293,b2e2a8f9329da72366ce5773484c63ab,primary zinc production from concentrate,zinc,RoW,1,kilogram,4154506,Zinc plates,T,1000
